合约代码,更新时间,最新价,成交量,买价一,买量一,卖价一,卖量一,持仓量,换手率
TF1706,48:00.5,99.255,3837,99.255,1,99.26,2,15882,3.81E+09
TF1706,48:01.0,99.26,3839,99.255,2,99.265,8,15882,3.81E+09
TF1706,48:01.5,99.26,3839,99.255,2,99.265,8,15882,3.81E+09
TF1706,48:02.0,99.26,3839,99.255,2,99.265,9,15882,3.81E+09
TF1706,48:03.0,99.26,3839,99.255,2,99.265,2,15882,3.81E+09
TF1706,48:03.5,99.26,3839,99.255,2,99.26,1,15882,3.81E+09
TF1706,48:04.0,99.26,3840,99.26,1,99.265,2,15882,3.81E+09
TF1706,48:04.5,99.26,3840,99.26,2,99.265,2,15882,3.81E+09
TF1706,48:05.0,99.26,3841,99.26,2,99.265,1,15881,3.81E+09
TF1706,48:06.0,99.26,3841,99.26,2,99.265,1,15881,3.81E+09
TF1706,48:06.5,99.26,3842,99.255,2,99.265,1,15880,3.82E+09
TF1706,48:07.5,99.26,3842,99.255,2,99.265,1,15880,3.82E+09
TF1706,48:10.0,99.26,3842,99.255,2,99.265,1,15880,3.82E+09
TF1706,48:11.5,99.26,3842,99.255,2,99.265,1,15880,3.82E+09
TF1706,48:12.0,99.26,3842,99.255,2,99.265,1,15880,3.82E+09
TF1706,48:12.5,99.255,3844,99.25,10,99.255,8,15880,3.82E+09
TF1706,48:13.0,99.255,3852,99.255,5,99.265,1,15882,3.83E+09
TF1706,48:13.5,99.255,3852,99.255,2,99.265,1,15882,3.83E+09
TF1706,48:14.0,99.255,3852,99.255,2,99.265,2,15882,3.83E+09
TF1706,48:16.0,99.255,3852,99.255,2,99.265,3,15882,3.83E+09
TF1706,48:17.0,99.255,3852,99.255,2,99.265,3,15882,3.83E+09
TF1706,48:18.0,99.255,3852,99.255,11,99.265,3,15882,3.83E+09
TF1706,48:19.0,99.255,3852,99.255,11,99.265,10,15882,3.83E+09
TF1706,48:22.0,99.255,3852,99.255,13,99.265,10,15882,3.83E+09
TF1706,48:22.5,99.255,3852,99.255,16,99.265,10,15882,3.83E+09
TF1706,48:34.5,99.255,3852,99.255,17,99.265,10,15882,3.83E+09
TF1706,48:38.0,99.255,3852,99.255,17,99.265,10,15882,3.83E+09
TF1706,48:45.0,99.255,3852,99.255,17,99.265,10,15882,3.83E+09
TF1706,48:45.5,99.255,3852,99.255,16,99.265,10,15882,3.83E+09
TF1706,48:46.5,99.255,3852,99.255,16,99.265,10,15882,3.83E+09
TF1706,48:47.0,99.255,3852,99.255,16,99.265,10,15882,3.83E+09
TF1706,48:49.0,99.255,3852,99.255,16,99.265,10,15882,3.83E+09
TF1706,48:49.5,99.255,3852,99.255,16,99.26,1,15882,3.83E+09
TF1706,48:50.0,99.255,3852,99.255,16,99.26,1,15882,3.83E+09
TF1706,48:50.5,99.255,3852,99.26,5,99.265,12,15882,3.83E+09
TF1706,48:51.0,99.255,3852,99.26,4,99.265,12,15882,3.83E+09
TF1706,48:52.5,99.255,3852,99.26,4,99.265,12,15882,3.83E+09
TF1706,48:53.0,99.255,3852,99.26,4,99.265,12,15882,3.83E+09
TF1706,48:53.5,99.26,3856,99.255,13,99.26,3,15885,3.83E+09
TF1706,48:56.0,99.26,3856,99.255,13,99.26,3,15885,3.83E+09
TF1706,48:57.0,99.26,3856,99.255,13,99.26,3,15885,3.83E+09
TF1706,49:00.0,99.26,3856,99.255,12,99.26,3,15885,3.83E+09
TF1706,49:01.5,99.26,3856,99.255,12,99.26,4,15885,3.83E+09
TF1706,49:02.5,99.255,3859,99.255,9,99.26,4,15885,3.83E+09
TF1706,49:03.0,99.255,3863,99.255,5,99.26,4,15888,3.84E+09
TF1706,49:03.5,99.255,3868,99.25,10,99.255,9,15885,3.84E+09
TF1706,49:04.0,99.25,3878,99.245,1,99.25,2,15881,3.85E+09
TF1706,49:04.5,99.25,3878,99.245,1,99.255,11,15881,3.85E+09
TF1706,49:05.0,99.25,3878,99.245,1,99.25,3,15881,3.85E+09
TF1706,49:05.5,99.25,3878,99.245,2,99.25,1,15881,3.85E+09
TF1706,49:06.0,99.25,3879,99.245,2,99.255,2,15881,3.85E+09
TF1706,49:06.5,99.25,3879,99.245,2,99.255,2,15881,3.85E+09
TF1706,49:07.5,99.245,3881,99.24,1,99.255,3,15881,3.85E+09
TF1706,49:08.0,99.245,3881,99.24,1,99.25,1,15881,3.85E+09
TF1706,49:08.5,99.245,3881,99.24,2,99.25,2,15881,3.85E+09
TF1706,49:09.0,99.245,3881,99.24,2,99.25,2,15881,3.85E+09
TF1706,49:10.0,99.245,3881,99.24,2,99.25,4,15881,3.85E+09
TF1706,49:10.5,99.245,3881,99.24,2,99.25,3,15881,3.85E+09
TF1706,49:11.0,99.245,3881,99.24,3,99.25,3,15881,3.85E+09
TF1706,49:12.0,99.245,3881,99.24,3,99.25,4,15881,3.85E+09
TF1706,49:12.5,99.24,3882,99.245,1,99.25,10,15880,3.85E+09
TF1706,49:13.0,99.245,3883,99.24,2,99.245,4,15880,3.86E+09
TF1706,49:13.5,99.245,3883,99.24,2,99.245,2,15880,3.86E+09
TF1706,49:14.5,99.245,3883,99.24,2,99.245,3,15880,3.86E+09
TF1706,49:15.0,99.245,3883,99.24,2,99.245,3,15880,3.86E+09
TF1706,49:15.5,99.245,3884,99.24,2,99.245,2,15880,3.86E+09
TF1706,49:18.5,99.245,3884,99.24,2,99.245,3,15880,3.86E+09
TF1706,49:19.5,99.245,3884,99.24,12,99.245,3,15880,3.86E+09
TF1706,49:20.0,99.245,3886,99.24,12,99.25,10,15882,3.86E+09
TF1706,49:22.5,99.245,3886,99.24,12,99.25,10,15882,3.86E+09
TF1706,49:23.0,99.245,3886,99.24,13,99.25,10,15882,3.86E+09
TF1706,49:26.0,99.245,3886,99.24,13,99.25,26,15882,3.86E+09
TF1706,49:26.5,99.245,3886,99.24,13,99.245,2,15882,3.86E+09
TF1706,49:27.0,99.245,3886,99.24,13,99.25,26,15882,3.86E+09
TF1706,49:30.5,99.245,3886,99.24,13,99.245,4,15882,3.86E+09
TF1706,49:31.0,99.245,3886,99.24,13,99.245,4,15882,3.86E+09
TF1706,49:32.0,99.245,3886,99.24,13,99.245,4,15882,3.86E+09
TF1706,49:33.0,99.245,3887,99.24,13,99.25,27,15881,3.86E+09
TF1706,49:33.5,99.245,3887,99.24,13,99.25,26,15881,3.86E+09
TF1706,49:34.5,99.245,3887,99.24,13,99.245,4,15881,3.86E+09
TF1706,49:35.0,99.245,3887,99.24,13,99.245,4,15881,3.86E+09
TF1706,49:36.0,99.245,3890,99.24,13,99.245,1,15881,3.86E+09
TF1706,49:36.5,99.245,3890,99.24,13,99.245,4,15881,3.86E+09
TF1706,49:37.0,99.245,3890,99.24,13,99.245,5,15881,3.86E+09
TF1706,49:38.0,99.245,3891,99.24,13,99.245,5,15880,3.86E+09
