code,date,close,open,high,low,volume,amount
399986.SZ,20220817,5567.388,5520.7503,5575.9489,5487.8458,16058259.0,11662723.9
399986.SZ,20220816,5508.6906,5509.9185,5538.7872,5497.6799,12150100.0,8720283.9
399986.SZ,20220815,5507.9208,5557.8578,5575.4784,5499.7738,15243674.0,11662774.5
399986.SZ,20220812,5578.4303,5552.3376,5586.6366,5536.547,14698193.0,10196049.9
399986.SZ,20220811,5568.1823,5493.3178,5570.2304,5475.4796,18245623.0,13874591.4
399986.SZ,20220810,5469.6887,5505.1043,5520.3086,5459.1983,9988240.0,8023707.2
399986.SZ,20220809,5501.4117,5533.5287,5533.5287,5499.3734,10222989.0,7724136.5
399986.SZ,20220808,5528.2149,5551.611,5583.9161,5517.5372,12668169.0,9044464.3
399986.SZ,20220805,5558.0846,5511.6241,5559.8471,5485.4991,13857961.0,9589241.7
399986.SZ,20220804,5504.0389,5475.447,5507.6423,5464.5109,16883476.0,10965511.7
399986.SZ,20220803,5449.632,5508.8728,5544.4189,5448.4854,17478798.0,13091074.0
399986.SZ,20220802,5513.2213,5556.4125,5556.4125,5466.4414,23850741.0,17109446.3
399986.SZ,20220801,5591.1887,5638.3799,5638.3799,5587.1092,15815681.0,13015150.3
399986.SZ,20220729,5649.5571,5704.7239,5722.8606,5639.4545,16097955.0,11668819.0
399986.SZ,20220728,5698.0104,5716.5145,5736.8626,5694.5523,14513656.0,10476345.9
399986.SZ,20220727,5711.6464,5741.6001,5741.6001,5702.9485,12880551.0,9344210.6
399986.SZ,20220726,5741.7207,5690.6486,5747.505,5689.3213,16058424.0,11637013.4
399986.SZ,20220725,5691.0109,5660.5984,5697.0488,5641.4634,12710003.0,9258642.6
399986.SZ,20220722,5669.7104,5655.9595,5696.5155,5639.4295,15843788.0,11713575.5
399986.SZ,20220721,5649.3109,5731.2976,5731.4326,5649.307,18863467.0,14854571.0
399986.SZ,20220720,5752.3882,5747.1352,5762.2377,5737.0478,17331024.0,12151283.3
399986.SZ,20220719,5725.1064,5698.3532,5736.405,5685.402,19479106.0,13069006.3
399986.SZ,20220718,5699.8421,5649.3006,5715.1894,5649.3006,21682559.0,16263608.5
399986.SZ,20220715,5623.7645,5690.7999,5733.254,5623.7645,30989758.0,22907086.3
399986.SZ,20220714,5751.4449,5826.2098,5826.2098,5695.4479,40290313.0,32771819.0
399986.SZ,20220713,5871.1018,5999.3751,5999.5909,5860.7581,33005495.0,25728525.0
399986.SZ,20220712,6013.3353,5989.4981,6055.8902,5989.4981,28448601.0,18290012.7
399986.SZ,20220711,6044.4311,6044.2603,6061.273,6032.4758,26202659.0,16166948.6
399986.SZ,20220708,6048.7508,6072.973,6072.973,6022.7064,17549292.0,12257130.1
399986.SZ,20220707,6059.8865,6073.043,6095.541,6046.5667,17086403.0,12506982.0
399986.SZ,20220706,6069.7683,6149.2639,6155.4851,6050.0463,22794896.0,16881204.7
399986.SZ,20220705,6154.3037,6165.3909,6196.5088,6132.7914,19660423.0,15022230.5
399986.SZ,20220704,6150.8284,6171.5874,6177.8387,6129.8373,21324127.0,16263907.8
399986.SZ,20220701,6178.1813,6207.2791,6211.9255,6166.8442,17080208.0,13940340.6
399986.SZ,20220630,6203.3359,6143.2139,6229.7122,6126.1107,26321889.0,21710414.2
399986.SZ,20220629,6153.5491,6124.7779,6192.87,6119.2374,24684244.0,18409440.3
399986.SZ,20220628,6143.7093,6107.7219,6148.3303,6097.7921,23043490.0,16413223.7
399986.SZ,20220627,6112.2898,6053.1617,6120.2396,6046.2532,26270938.0,20188415.6
399986.SZ,20220624,6047.8728,6070.509,6087.8146,6017.0679,22043748.0,16464471.2
399986.SZ,20220623,6081.4365,6039.3513,6085.6397,6033.8785,20782487.0,14316715.0
399986.SZ,20220622,6029.6509,6106.9516,6106.9516,6029.1939,19943125.0,14598444.3
399986.SZ,20220621,6106.6369,6054.5382,6129.3999,6044.5756,23614962.0,16662768.7
399986.SZ,20220620,6049.1648,6093.4262,6096.0646,6037.9056,22423726.0,16545418.6
399986.SZ,20220617,6095.2738,6075.9926,6115.1643,6044.2381,23590750.0,16592423.8
399986.SZ,20220616,6101.2483,6193.9756,6198.3078,6097.2897,30314026.0,21289378.2
399986.SZ,20220615,6219.5488,6113.3985,6304.1038,6109.1387,50129891.0,37451452.5
399986.SZ,20220614,6112.4852,5984.5342,6117.2831,5980.886,28984880.0,19205596.4
399986.SZ,20220613,6018.7933,6098.627,6100.7663,5992.2182,27520421.0,20856222.7
399986.SZ,20220610,6140.1745,6089.5461,6146.9399,6066.9833,32297517.0,21987174.9
399986.SZ,20220609,6112.1202,6035.2092,6121.2095,6030.7109,26943588.0,21608461.1
399986.SZ,20220608,6035.6944,6022.4817,6038.5141,5991.9559,21173836.0,15718266.4
399986.SZ,20220607,6024.2235,5952.1081,6036.5005,5940.8157,23785914.0,18743509.4
399986.SZ,20220606,5959.8917,5956.6596,5964.7368,5891.8719,29116385.0,21442975.3
399986.SZ,20220602,5966.1537,5978.1809,5988.222,5950.3987,16655616.0,12395095.8
399986.SZ,20220601,5999.7277,6019.4639,6019.8936,5978.5806,17564081.0,12339981.0
399986.SZ,20220531,6018.1982,5986.436,6028.304,5963.4277,21501139.0,15475623.1
399986.SZ,20220530,5988.846,6056.7559,6056.7559,5977.2107,19981094.0,13708895.6
399986.SZ,20220527,6036.9837,6024.0281,6060.4203,6013.6914,16096844.0,12471237.1
399986.SZ,20220526,6005.0878,6019.4661,6019.9672,5962.1731,18759378.0,14056163.0
399986.SZ,20220525,6017.7418,6007.0291,6028.1811,5989.5623,16307148.0,11339366.2
399986.SZ,20220524,5999.48,6066.7636,6078.3131,5997.0897,21808249.0,15379902.5
399986.SZ,20220523,6055.7852,6091.4775,6092.3981,6044.1651,18288690.0,13866588.1
399986.SZ,20220520,6087.1354,6021.6803,6096.6413,6020.1515,23340909.0,19816468.9
399986.SZ,20220519,5997.14,5977.7814,6011.9481,5962.412,18158948.0,13018910.4
399986.SZ,20220518,6028.466,6092.2213,6092.7132,6001.7048,19015549.0,15952840.6
399986.SZ,20220517,6074.4034,6036.6626,6101.6567,6015.0322,22340418.0,18087638.6
399986.SZ,20220516,6015.6478,6071.4849,6071.4849,5983.3393,20144651.0,15535425.3
399986.SZ,20220513,6069.699,6026.9399,6091.6488,6026.9399,18825417.0,14948285.4
399986.SZ,20220512,5998.7889,6009.7551,6031.6156,5983.9763,17289258.0,12767355.5
399986.SZ,20220511,6036.6646,6054.9243,6072.6978,6026.8887,25751147.0,18650776.4
399986.SZ,20220510,6066.1203,5980.9011,6081.1815,5928.1009,25611244.0,19723166.8
399986.SZ,20220509,6018.053,6083.7201,6085.4406,5993.1716,18349914.0,15878701.4
399986.SZ,20220506,6103.3018,6174.6073,6193.9723,6095.7725,22009949.0,16617681.0
399986.SZ,20220505,6234.1449,6235.8317,6287.575,6199.3753,31515591.0,22201214.2
399986.SZ,20220429,6251.8563,6257.1778,6281.4823,6143.1435,34636422.0,27199052.4
399986.SZ,20220428,6269.9017,6150.7458,6269.9017,6148.9739,29911948.0,24090580.5
399986.SZ,20220427,6157.8306,6122.3601,6209.7648,6113.6304,32758739.0,25698837.5
399986.SZ,20220426,6149.7014,6181.7645,6232.4401,6129.4154,31521759.0,23962580.9
399986.SZ,20220425,6165.964,6334.4002,6369.1019,6164.1769,40393835.0,33768505.7
399986.SZ,20220422,6439.4471,6294.6847,6464.6769,6294.4581,28536311.0,22697216.3
399986.SZ,20220421,6332.1199,6329.8447,6426.8389,6304.5966,26800414.0,20579993.7
399986.SZ,20220420,6353.3677,6413.871,6430.9878,6344.5052,20253194.0,18066651.6
399986.SZ,20220419,6420.05,6397.7827,6435.7347,6337.3684,23108966.0,24988696.4
399986.SZ,20220418,6430.7314,6532.6889,6534.6564,6413.5181,27960732.0,28018089.4
399986.SZ,20220415,6598.2142,6480.8928,6620.392,6475.1391,26155734.0,20338054.8
399986.SZ,20220414,6496.9618,6560.2575,6580.2388,6496.9618,22329064.0,16951662.0
399986.SZ,20220413,6515.6773,6508.1113,6572.9206,6489.5721,23581642.0,17161395.6
399986.SZ,20220412,6519.1399,6507.772,6569.8238,6439.7709,29424689.0,21281125.8
399986.SZ,20220411,6512.0035,6580.9757,6580.9757,6485.682,26807241.0,19552666.6
399986.SZ,20220408,6606.9156,6554.3809,6609.7613,6526.6285,27933241.0,19803920.3
399986.SZ,20220407,6553.4177,6613.5,6662.9875,6536.0487,37014232.0,25683354.3
399986.SZ,20220406,6625.2441,6473.2698,6653.043,6472.3305,43485337.0,30730045.6
399986.SZ,20220401,6521.0163,6368.7494,6521.0163,6362.4453,36640227.0,25888052.9
399986.SZ,20220331,6400.7406,6284.1195,6427.0377,6273.6684,36233570.0,23874730.1
399986.SZ,20220330,6311.6,6248.9563,6314.5445,6221.369,26308067.0,18089794.8
399986.SZ,20220329,6229.8147,6218.7397,6247.0885,6203.7254,20165240.0,13350395.9
399986.SZ,20220328,6217.4475,6158.8314,6241.5286,6099.8628,26589730.0,16784361.5
399986.SZ,20220325,6193.2066,6199.345,6251.152,6170.2037,19011969.0,13832465.5
399986.SZ,20220324,6197.5563,6149.7978,6219.2867,6128.0901,16643226.0,13336065.3
399986.SZ,20220323,6175.0277,6215.543,6215.6357,6135.6274,21960083.0,19298107.0
399986.SZ,20220322,6223.3266,6111.1473,6247.7641,6105.4986,25219323.0,18259225.3
399986.SZ,20220321,6108.8351,6176.5063,6191.1972,6090.9356,21425415.0,17433074.1
399986.SZ,20220318,6187.7651,6043.671,6202.7825,6030.5369,32709237.0,24659939.1
399986.SZ,20220317,6055.9149,6092.1753,6129.771,6022.3881,30168959.0,24363549.8
399986.SZ,20220316,6005.8247,5857.3678,6034.9722,5770.2254,35510405.0,27085765.8
399986.SZ,20220315,5799.0497,6039.9304,6039.9304,5796.6571,40999046.0,29601821.2
399986.SZ,20220314,6073.7166,6151.4041,6214.6399,6073.7166,23509055.0,18732049.8
399986.SZ,20220311,6224.5726,6155.2861,6242.6842,6084.4339,25791543.0,19294477.0
399986.SZ,20220310,6186.1126,6233.2317,6253.3241,6185.0676,22226040.0,18036680.6
399986.SZ,20220309,6137.301,6255.3775,6268.0555,6000.712,35636154.0,25068731.4
399986.SZ,20220308,6238.4847,6355.8591,6373.379,6225.1828,26108800.0,20365999.8
399986.SZ,20220307,6375.8994,6459.3252,6466.2719,6360.1202,24056646.0,20484465.5
399986.SZ,20220304,6503.3247,6545.9315,6546.8479,6468.1664,20038872.0,15781309.2
399986.SZ,20220303,6566.7806,6525.4878,6577.6213,6525.4878,19905269.0,15033679.2
399986.SZ,20220302,6513.3889,6495.5883,6542.7895,6490.5172,16922365.0,13266760.2
399986.SZ,20220301,6536.8413,6483.4512,6549.5629,6450.6432,20353645.0,16358931.1
399986.SZ,20220228,6476.7774,6470.6841,6480.612,6409.9569,19412260.0,14324211.9
399986.SZ,20220225,6483.695,6529.0607,6552.8522,6457.2025,21721442.0,16540576.1
399986.SZ,20220224,6514.604,6593.2021,6600.5791,6501.4449,26956942.0,19425505.5
399986.SZ,20220223,6608.3766,6674.3602,6674.3602,6590.9409,20089061.0,15824433.2
399986.SZ,20220222,6666.4998,6662.8701,6693.8506,6638.8958,17179036.0,14531942.0
399986.SZ,20220221,6699.4702,6708.9496,6708.9496,6629.3647,17645254.0,13599860.6
399986.SZ,20220218,6731.8818,6628.8347,6731.8818,6628.5602,18784953.0,14774230.1
399986.SZ,20220217,6645.5546,6637.182,6697.3443,6618.5084,17773038.0,14773755.3
399986.SZ,20220216,6627.7236,6588.5675,6660.824,6581.3646,16530054.0,13333953.4
399986.SZ,20220215,6565.2207,6631.4383,6672.6016,6533.2823,24279001.0,19981359.2
399986.SZ,20220214,6649.197,6800.2375,6800.3827,6633.9383,27470629.0,21145477.1
399986.SZ,20220211,6805.8395,6736.5246,6837.4765,6736.4768,29668299.0,24865775.6
399986.SZ,20220210,6735.4448,6679.4835,6735.4448,6636.8712,24006741.0,16982415.6
399986.SZ,20220209,6678.2121,6715.5743,6749.4848,6661.084,30497058.0,22070065.5
399986.SZ,20220208,6707.835,6611.2943,6710.5252,6605.0903,39367076.0,27228067.2
399986.SZ,20220207,6611.986,6496.2388,6617.7342,6494.8866,28336413.0,23666076.1
399986.SZ,20220128,6414.8397,6525.5161,6537.2188,6414.8397,23722864.0,19122588.7
399986.SZ,20220127,6508.5422,6523.4255,6555.3353,6473.8577,21297963.0,16802073.7
399986.SZ,20220126,6537.7915,6539.6034,6561.2436,6498.8378,17584129.0,14211372.6
399986.SZ,20220125,6525.9609,6608.9861,6610.7694,6525.1526,23356585.0,18513753.8
399986.SZ,20220124,6633.0953,6638.4748,6663.7902,6571.0768,22301952.0,18409033.0
399986.SZ,20220121,6640.4567,6661.6537,6666.4024,6615.1841,24170010.0,20842436.8
399986.SZ,20220120,6675.3234,6548.2709,6702.1636,6545.3033,38204721.0,34359916.7
399986.SZ,20220119,6544.7306,6505.9145,6556.6712,6497.7849,22356476.0,19374868.0
399986.SZ,20220118,6507.7261,6386.8222,6512.9404,6375.4115,26359988.0,21389913.5
399986.SZ,20220117,6375.4327,6388.0433,6430.6088,6347.8429,19035600.0,15438062.9
399986.SZ,20220114,6383.5389,6521.9346,6521.9346,6377.0659,30577332.0,23928113.6
399986.SZ,20220113,6527.2273,6519.8727,6600.318,6511.1846,28194905.0,20194106.7
399986.SZ,20220112,6526.4955,6552.7569,6557.938,6480.8368,27197465.0,21783540.1
399986.SZ,20220111,6542.4281,6488.3593,6571.4216,6460.4755,29143891.0,25264132.5
399986.SZ,20220110,6469.5072,6466.5327,6504.3702,6410.2088,27061211.0,21288702.9
399986.SZ,20220107,6444.1667,6347.7879,6448.291,6347.7879,33544525.0,23383207.7
399986.SZ,20220106,6345.1875,6371.1314,6386.1753,6335.5972,22371699.0,18038182.1
399986.SZ,20220105,6380.0344,6267.5644,6406.2473,6262.4705,36219662.0,28658862.2
399986.SZ,20220104,6266.6502,6249.0261,6271.1029,6203.9997,21863145.0,17348877.3
399986.SZ,20211231,6248.0093,6257.4986,6263.4708,6237.8968,14428266.0,12632932.5
399986.SZ,20211230,6251.9313,6225.8665,6274.2175,6225.2952,15391110.0,14471690.4
399986.SZ,20211229,6221.5224,6291.7724,6291.7724,6218.1294,14673584.0,16622755.3
399986.SZ,20211228,6290.6927,6269.013,6309.1834,6267.1025,17381374.0,14439297.8
399986.SZ,20211227,6265.6458,6297.9503,6307.9139,6247.9562,13404145.0,12936514.8
399986.SZ,20211224,6296.6917,6324.1419,6324.1419,6290.6004,12904020.0,9997410.6
399986.SZ,20211223,6318.6832,6325.5215,6337.7813,6295.6541,14504587.0,12986575.2
399986.SZ,20211222,6313.3886,6374.1398,6374.7768,6310.5426,17549317.0,13021479.0
399986.SZ,20211221,6362.3155,6329.6317,6391.5074,6328.3094,23230032.0,15658946.6
399986.SZ,20211220,6335.0666,6328.3907,6371.5566,6322.6102,15928175.0,12740749.9
399986.SZ,20211217,6341.4387,6363.1715,6379.9826,6335.0305,15085133.0,12406930.1
399986.SZ,20211216,6366.8534,6325.1126,6370.9972,6307.8144,15680578.0,12688997.3
399986.SZ,20211215,6321.5659,6314.7795,6336.3336,6301.5021,15535570.0,12909511.1
399986.SZ,20211214,6329.5838,6402.0604,6407.6107,6316.9844,21575740.0,19249395.7
399986.SZ,20211213,6416.4854,6472.0097,6532.9609,6414.6578,23844294.0,19997343.3
399986.SZ,20211210,6466.7214,6450.2431,6496.0866,6429.5991,27075824.0,19286646.7
399986.SZ,20211209,6482.0955,6424.2291,6544.405,6408.465,26927525.0,22228695.3
399986.SZ,20211208,6420.6332,6419.472,6431.5256,6376.9701,19247462.0,15819488.9
399986.SZ,20211207,6417.9659,6404.2405,6441.603,6350.2641,23756486.0,21052646.4
399986.SZ,20211206,6354.7705,6337.6103,6410.8792,6335.5834,21960169.0,19406062.1
399986.SZ,20211203,6323.2243,6287.054,6323.2243,6243.5666,14650923.0,12930534.0
399986.SZ,20211202,6282.0138,6252.9777,6303.6039,6209.9819,16013358.0,14052370.7
399986.SZ,20211201,6259.1865,6215.0331,6264.3708,6209.5984,13744876.0,10533281.5
399986.SZ,20211130,6215.9792,6226.298,6250.8428,6196.0886,14934312.0,11617114.2
399986.SZ,20211129,6232.1928,6228.3098,6249.8596,6201.1345,15946333.0,12902724.8
399986.SZ,20211126,6259.0641,6296.9839,6300.2583,6252.6088,13019312.0,11886592.7
399986.SZ,20211125,6309.5958,6320.9636,6321.7242,6298.9643,9760079.0,7186044.3
399986.SZ,20211124,6329.7982,6315.4832,6344.1938,6290.3079,12153687.0,9964172.0
399986.SZ,20211123,6323.0952,6315.363,6358.785,6300.8768,13115510.0,12504124.8
399986.SZ,20211122,6312.1952,6360.4658,6364.6461,6309.0772,14431724.0,13206267.1
399986.SZ,20211119,6373.3338,6301.4901,6388.9634,6288.5478,14493730.0,12153743.6
399986.SZ,20211118,6302.3633,6338.1323,6346.0635,6295.9454,11707392.0,9658736.3
399986.SZ,20211117,6346.7945,6374.0308,6404.3707,6340.1819,12159131.0,9610596.4
399986.SZ,20211116,6395.8523,6428.9514,6458.0551,6371.3901,12030687.0,9603015.7
399986.SZ,20211115,6436.1321,6410.2556,6456.5967,6390.3992,11719598.0,9894752.0
399986.SZ,20211112,6399.9506,6421.9626,6451.4315,6388.7132,13314916.0,11262414.1
399986.SZ,20211111,6423.1568,6250.1964,6424.7883,6244.0238,20414904.0,20060318.6
399986.SZ,20211110,6257.4871,6270.6229,6270.6229,6211.0698,14732064.0,12774052.5
399986.SZ,20211109,6277.9002,6291.142,6307.8627,6243.5861,12339336.0,11153393.9
399986.SZ,20211108,6274.5743,6292.5314,6307.7334,6266.5332,14571615.0,12596597.6
399986.SZ,20211105,6302.3117,6313.5536,6332.8241,6295.0138,13999828.0,11849893.4
399986.SZ,20211104,6327.8484,6362.1422,6366.4252,6309.4388,14153777.0,12223655.2
399986.SZ,20211103,6354.0278,6357.927,6372.5447,6335.2835,16287603.0,13823790.1
399986.SZ,20211102,6356.5889,6553.6218,6560.7581,6324.4283,29662903.0,26253234.8
399986.SZ,20211101,6546.6143,6469.6901,6582.4963,6439.9443,27050039.0,20693509.6
399986.SZ,20211029,6471.6711,6526.7818,6537.6076,6456.3989,18843116.0,16147853.1
399986.SZ,20211028,6500.5817,6520.8025,6553.3136,6482.935,14616063.0,11798562.1
399986.SZ,20211027,6543.6484,6587.3886,6587.3886,6490.0547,17057393.0,14153330.4
399986.SZ,20211026,6599.3271,6596.8048,6651.7275,6574.4649,17730044.0,16142547.9
399986.SZ,20211025,6602.2103,6557.0816,6615.2054,6523.003,16315249.0,14860805.3
399986.SZ,20211022,6601.0854,6610.5534,6662.5373,6562.6262,19487059.0,17369842.5
399986.SZ,20211021,6590.5368,6495.8051,6595.8954,6495.2929,24004183.0,21200483.9
399986.SZ,20211020,6452.3034,6522.3054,6536.7587,6439.1974,13656448.0,11101532.4
399986.SZ,20211019,6497.1829,6450.1179,6532.4963,6449.1463,15178388.0,12630805.3
399986.SZ,20211018,6453.3577,6496.8296,6511.238,6433.3692,16522216.0,13785727.7
399986.SZ,20211015,6498.3705,6450.2388,6525.0218,6435.3661,15849246.0,13508841.0
399986.SZ,20211014,6441.8312,6510.8053,6539.9121,6428.8639,11857755.0,10275571.8
399986.SZ,20211013,6508.4864,6509.7866,6539.2181,6447.2588,14356937.0,12414342.6
399986.SZ,20211012,6519.9764,6494.8275,6580.0721,6475.063,20529236.0,17586523.6
399986.SZ,20211011,6518.3667,6419.083,6581.2554,6419.083,24408878.0,22662049.5
399986.SZ,20211008,6375.9118,6291.4413,6387.109,6291.4413,20173640.0,16494545.4
399986.SZ,20210930,6274.2681,6330.2241,6330.2241,6248.2339,17010866.0,14117625.0
399986.SZ,20210929,6341.5547,6248.3212,6385.0839,6224.6303,22515842.0,19263683.0
399986.SZ,20210928,6285.3037,6177.2778,6312.2928,6176.9706,21409580.0,17784663.5
399986.SZ,20210927,6180.9713,6163.3201,6210.9493,6126.0662,19745197.0,16244417.5
399986.SZ,20210924,6180.8967,6220.2529,6244.3535,6174.8964,17462567.0,13910836.3
399986.SZ,20210923,6230.0418,6257.8864,6327.4036,6209.8531,20208360.0,17048436.5
399986.SZ,20210922,6229.3825,6197.3236,6258.6338,6160.8391,24871362.0,21701733.0
399986.SZ,20210917,6366.2896,6353.8665,6389.5306,6331.0556,18693255.0,14514510.2
399986.SZ,20210916,6355.5534,6404.8417,6448.0539,6346.0844,23848620.0,17946525.0
399986.SZ,20210915,6416.7401,6448.897,6478.6083,6380.8522,19251998.0,15592304.4
399986.SZ,20210914,6466.9604,6654.4937,6673.654,6452.9888,28973235.0,22289572.5
399986.SZ,20210913,6645.846,6631.5029,6670.2826,6595.0115,25494441.0,20584432.6
399986.SZ,20210910,6655.7015,6506.4088,6718.6103,6503.3965,36108890.0,31258583.5
399986.SZ,20210909,6512.1441,6509.6603,6539.9142,6468.678,21074410.0,15567637.8
399986.SZ,20210908,6535.7654,6533.5647,6599.4719,6515.2989,25102506.0,19785294.6
399986.SZ,20210907,6543.9661,6441.3377,6564.6364,6389.6234,27639461.0,22762783.4
399986.SZ,20210906,6428.572,6406.3943,6487.0688,6398.8952,20849195.0,16864061.8
399986.SZ,20210903,6436.6647,6437.3751,6496.3885,6333.0473,26381416.0,20904799.1
399986.SZ,20210902,6424.521,6366.8377,6428.7996,6358.5313,22949088.0,21692435.9
399986.SZ,20210901,6365.6165,6205.7887,6377.9663,6188.112,34447713.0,27727126.6
399986.SZ,20210831,6222.8721,6136.2982,6228.1385,6120.2783,22575253.0,18218409.1
399986.SZ,20210830,6134.4066,6228.5493,6231.4798,6097.3931,22118308.0,20267215.6
399986.SZ,20210827,6237.0358,6219.047,6283.8772,6214.9409,13784084.0,12105428.1
399986.SZ,20210826,6219.1703,6318.2206,6320.5306,6214.4006,15742993.0,15105299.3
399986.SZ,20210825,6309.8812,6372.8637,6388.9081,6294.7998,15959492.0,13166146.7
399986.SZ,20210824,6368.4059,6353.0989,6420.1432,6318.7615,16261894.0,14438472.8
399986.SZ,20210823,6346.6879,6349.8325,6404.995,6342.292,14902187.0,13700966.4
399986.SZ,20210820,6343.9112,6384.7829,6421.9997,6257.8206,19288860.0,17956748.8
399986.SZ,20210819,6387.7985,6491.1325,6504.3993,6362.4097,17873265.0,16271582.7
399986.SZ,20210818,6515.1512,6314.3383,6563.0808,6308.2085,25858389.0,25222144.1
399986.SZ,20210817,6308.2227,6362.4097,6421.3353,6300.5747,17721663.0,14542763.2
399986.SZ,20210816,6368.2667,6399.9019,6410.696,6320.913,14351837.0,14227987.2
399986.SZ,20210813,6376.1603,6366.5984,6389.7704,6333.7331,11760522.0,10888821.2
399986.SZ,20210812,6370.8313,6386.0851,6426.6683,6361.6799,12939717.0,11557216.9
399986.SZ,20210811,6399.7344,6347.2047,6472.7276,6346.0941,25463062.0,20777743.3
399986.SZ,20210810,6342.2812,6222.3748,6357.6838,6192.1069,19822805.0,18774188.8
399986.SZ,20210809,6222.9637,6064.9869,6277.4251,6063.6285,21757339.0,20608300.1
399986.SZ,20210806,6067.3662,6028.2825,6069.529,5983.6872,13605285.0,11723159.4
399986.SZ,20210805,6047.0295,6041.9397,6097.8308,6017.37,13081055.0,10794804.6
399986.SZ,20210804,6058.5824,6111.9692,6116.5888,6045.3895,14169133.0,12272263.5
399986.SZ,20210803,6109.7237,6121.6575,6130.983,6063.2113,15950802.0,13345149.6
399986.SZ,20210802,6141.4928,6044.1321,6178.3531,5972.0387,23098714.0,18967096.6
399986.SZ,20210730,6055.7104,6128.4873,6128.4873,6026.2276,17316028.0,14487891.7
399986.SZ,20210729,6147.8695,6224.3075,6224.3075,6138.7414,18183614.0,15242406.6
399986.SZ,20210728,6189.3213,6133.639,6229.589,6133.639,23037588.0,18741977.9
399986.SZ,20210727,6121.4817,6292.0381,6309.1983,6104.3676,23352879.0,20532628.9
399986.SZ,20210726,6289.1752,6465.512,6465.512,6285.3459,23333276.0,20239862.3
399986.SZ,20210723,6494.2386,6519.5108,6529.9492,6457.8526,14997962.0,12582341.4
399986.SZ,20210722,6522.2247,6479.9159,6581.5872,6466.9648,15728770.0,14347776.7
399986.SZ,20210721,6485.9987,6527.4273,6559.9812,6462.6584,16569049.0,14672360.8
399986.SZ,20210720,6543.4055,6600.3929,6621.9077,6527.5198,14486715.0,12720656.8
399986.SZ,20210719,6630.4892,6634.5741,6648.2942,6531.5122,17666129.0,14386127.9
399986.SZ,20210716,6633.8999,6640.6523,6685.3365,6611.5087,17090353.0,14055609.2
399986.SZ,20210715,6674.5415,6502.8614,6682.2316,6497.8852,24044441.0,21655425.2
399986.SZ,20210714,6508.2307,6612.0166,6612.0166,6486.8688,23776552.0,19719613.9
399986.SZ,20210713,6619.0926,6599.946,6653.5137,6532.1545,20566245.0,16711919.3
399986.SZ,20210712,6635.2757,6723.2697,6739.0552,6606.9619,27536518.0,23827936.1
399986.SZ,20210709,6662.8005,6713.8218,6756.2102,6646.7613,20371137.0,18765439.7
399986.SZ,20210708,6738.5746,6953.0748,6953.0748,6715.4175,24939941.0,26940672.5
399986.SZ,20210707,6917.6109,6927.3241,6981.148,6893.658,16070945.0,13457392.9
399986.SZ,20210706,6938.3774,6870.0879,6955.0445,6848.8858,18559490.0,15991292.8
